,Unnamed: 0.1,Unnamed: 0,id,condition,block,trial,stimA,stimB,choice,rt,age,gender,familiarity,familiarity_health,uniqueness_1,uniqueness_2,uniqueness_3,uniqueness_4,anxiety_1,anxiety_2,anxiety_3,anxiety_4
163,163,0.0,,1,dog3,3,stimuli/dogs/dog8.png,stimuli/dogs/dog1.png,d,0.6721598999999969,19,female,1,2,1,1,7,1,6,3,3,6
164,164,0.0,,0,dog1,23,stimuli/dogs/dog1.png,stimuli/dogs/dog5.png,k,0.8016370999998799,19,female,1,2,1,1,7,1,6,3,3,6
165,165,0.0,,1,dog3,4,stimuli/dogs/dog5.png,stimuli/dogs/dog2.png,d,0.5682424999999967,19,female,1,2,1,1,7,1,6,3,3,6
166,166,0.0,,0,dog1,24,stimuli/dogs/dog8.png,stimuli/dogs/dog2.png,d,1.0069770999998582,19,female,1,2,1,1,7,1,6,3,3,6
167,167,0.0,,1,dog3,5,stimuli/dogs/dog4.png,stimuli/dogs/dog3.png,k,0.5015872999999829,19,female,1,2,1,1,7,1,6,3,3,6
168,168,0.0,,0,dog1,25,stimuli/dogs/dog4.png,stimuli/dogs/dog7.png,k,0.7053060999999161,19,female,1,2,1,1,7,1,6,3,3,6
169,169,0.0,,1,dog3,6,stimuli/dogs/dog4.png,stimuli/dogs/dog1.png,d,0.867049599999973,19,female,1,2,1,1,7,1,6,3,3,6
170,170,0.0,,0,dog1,26,stimuli/dogs/dog4.png,stimuli/dogs/dog1.png,d,0.9534240999998929,19,female,1,2,1,1,7,1,6,3,3,6
171,171,0.0,,1,dog3,7,stimuli/dogs/dog6.png,stimuli/dogs/dog3.png,d,0.8876829999999245,19,female,1,2,1,1,7,1,6,3,3,6
172,172,0.0,,0,dog1,27,stimuli/dogs/dog4.png,stimuli/dogs/dog8.png,k,0.7202591999998731,19,female,1,2,1,1,7,1,6,3,3,6
173,173,0.0,,1,dog3,8,stimuli/dogs/dog6.png,stimuli/dogs/dog1.png,d,0.5465712000000167,19,female,1,2,1,1,7,1,6,3,3,6
174,174,0.0,,0,dog1,28,stimuli/dogs/dog6.png,stimuli/dogs/dog3.png,d,0.5974464000000808,19,female,1,2,1,1,7,1,6,3,3,6
175,175,0.0,,1,dog3,9,stimuli/dogs/dog8.png,stimuli/dogs/dog3.png,d,0.6069353000000319,19,female,1,2,1,1,7,1,6,3,3,6
176,176,0.0,,1,dog3,10,stimuli/dogs/dog2.png,stimuli/dogs/dog7.png,k,0.5771254000001136,19,female,1,2,1,1,7,1,6,3,3,6
177,177,0.0,,1,dog3,11,stimuli/dogs/dog4.png,stimuli/dogs/dog7.png,k,0.6327791000001071,19,female,1,2,1,1,7,1,6,3,3,6
178,178,0.0,,1,dog3,12,stimuli/dogs/dog3.png,stimuli/dogs/dog1.png,d,0.5474361999999928,19,female,1,2,1,1,7,1,6,3,3,6
179,179,0.0,,1,dog3,13,stimuli/dogs/dog4.png,stimuli/dogs/dog6.png,k,0.48686159999988377,19,female,1,2,1,1,7,1,6,3,3,6
180,180,0.0,,1,dog3,14,stimuli/dogs/dog7.png,stimuli/dogs/dog3.png,d,0.4687079000000267,19,female,1,2,1,1,7,1,6,3,3,6
181,181,0.0,,1,dog3,15,stimuli/dogs/dog5.png,stimuli/dogs/dog6.png,k,2.1686123999998017,19,female,1,2,1,1,7,1,6,3,3,6
182,182,0.0,,1,dog3,16,stimuli/dogs/dog5.png,stimuli/dogs/dog1.png,d,0.7768601000000217,19,female,1,2,1,1,7,1,6,3,3,6
183,183,0.0,,1,dog3,17,stimuli/dogs/dog6.png,stimuli/dogs/dog7.png,k,1.1502517000001262,19,female,1,2,1,1,7,1,6,3,3,6
184,184,0.0,,1,dog3,18,stimuli/dogs/dog2.png,stimuli/dogs/dog6.png,k,0.6281433000001471,19,female,1,2,1,1,7,1,6,3,3,6
185,185,0.0,,1,dog3,19,stimuli/dogs/dog3.png,stimuli/dogs/dog3.png,q,1.899893099999872,19,female,1,2,1,1,7,1,6,3,3,6
186,186,0.0,,1,dog3,20,stimuli/dogs/dog1.png,stimuli/dogs/dog7.png,k,0.7578707000000122,19,female,1,2,1,1,7,1,6,3,3,6
187,187,0.0,,1,dog3,21,stimuli/dogs/dog5.png,stimuli/dogs/dog7.png,k,1.195588399999906,19,female,1,2,1,1,7,1,6,3,3,6
188,188,0.0,,0,dog2,0,stimuli/dogs/dog5.png,stimuli/dogs/dog7.png,d,1.7563299000000825,19,female,1,2,1,1,7,1,6,3,3,6
189,189,0.0,,1,dog3,22,stimuli/dogs/dog4.png,stimuli/dogs/dog2.png,d,0.9698597999999947,19,female,1,2,1,1,7,1,6,3,3,6
190,190,0.0,,0,dog2,1,stimuli/dogs/dog2.png,stimuli/dogs/dog4.png,d,0.9551274000000376,19,female,1,2,1,1,7,1,6,3,3,6
191,191,0.0,,1,dog3,23,stimuli/dogs/dog8.png,stimuli/dogs/dog5.png,d,0.9619541999998091,19,female,1,2,1,1,7,1,6,3,3,6
192,192,0.0,,0,dog2,2,stimuli/dogs/dog1.png,stimuli/dogs/dog4.png,d,0.5936987000000045,19,female,1,2,1,1,7,1,6,3,3,6
193,193,0.0,,1,dog3,24,stimuli/dogs/dog2.png,stimuli/dogs/dog8.png,k,0.5641908999998577,19,female,1,2,1,1,7,1,6,3,3,6
194,194,0.0,,0,dog2,3,stimuli/dogs/dog4.png,stimuli/dogs/dog6.png,d,0.946340599999985,19,female,1,2,1,1,7,1,6,3,3,6
195,195,0.0,,1,dog3,25,stimuli/dogs/dog1.png,stimuli/dogs/dog2.png,k,0.7202214999999796,19,female,1,2,1,1,7,1,6,3,3,6
196,196,0.0,,1,dog3,26,stimuli/dogs/dog2.png,stimuli/dogs/dog3.png,k,0.6093343000000004,19,female,1,2,1,1,7,1,6,3,3,6
197,197,0.0,,1,dog3,27,stimuli/dogs/dog8.png,stimuli/dogs/dog4.png,d,0.6025094999999965,19,female,1,2,1,1,7,1,6,3,3,6
198,198,0.0,,0,dog2,4,stimuli/dogs/dog2.png,stimuli/dogs/dog1.png,k,1.8887535999999727,19,female,1,2,1,1,7,1,6,3,3,6
199,199,0.0,,1,dog3,28,stimuli/dogs/dog3.png,stimuli/dogs/dog5.png,k,0.4054464000000735,19,female,1,2,1,1,7,1,6,3,3,6
200,0,,0,dog3,5,stimuli/dogs/dog8.png,stimuli/dogs/dog5.png,d,0.6200595000000249,,19,female,1,2,1,1,7,1,6,3,3,6
201,0,,0,dog3,6,stimuli/dogs/dog7.png,stimuli/dogs/dog1.png,d,0.6197901999998976,,19,female,1,2,1,1,7,1,6,3,3,6
202,0,,0,dog3,7,stimuli/dogs/dog3.png,stimuli/dogs/dog6.png,k,0.5417035999998916,,19,female,1,2,1,1,7,1,6,3,3,6
203,0,,0,dog3,8,stimuli/dogs/dog4.png,stimuli/dogs/dog1.png,d,0.8838360000002012,,19,female,1,2,1,1,7,1,6,3,3,6
204,0,,0,dog3,9,stimuli/dogs/dog4.png,stimuli/dogs/dog3.png,d,0.9087812999998732,,19,female,1,2,1,1,7,1,6,3,3,6
205,0,,0,dog3,10,stimuli/dogs/dog4.png,stimuli/dogs/dog6.png,k,0.8155279000000064,,19,female,1,2,1,1,7,1,6,3,3,6
206,0,,0,dog3,11,stimuli/dogs/dog2.png,stimuli/dogs/dog1.png,d,1.4027971000000434,,19,female,1,2,1,1,7,1,6,3,3,6
207,0,,0,dog3,12,stimuli/dogs/dog8.png,stimuli/dogs/dog1.png,d,0.7725504000000001,,19,female,1,2,1,1,7,1,6,3,3,6
208,0,,0,dog3,13,stimuli/dogs/dog4.png,stimuli/dogs/dog2.png,d,1.084325300000046,,19,female,1,2,1,1,7,1,6,3,3,6
209,0,,0,dog3,14,stimuli/dogs/dog8.png,stimuli/dogs/dog2.png,d,0.5600369999999657,,19,female,1,2,1,1,7,1,6,3,3,6
210,0,,0,dog3,15,stimuli/dogs/dog6.png,stimuli/dogs/dog7.png,k,2.1362934000001133,,19,female,1,2,1,1,7,1,6,3,3,6
211,0,,0,dog3,16,stimuli/dogs/dog7.png,stimuli/dogs/dog4.png,d,0.7819541999999728,,19,female,1,2,1,1,7,1,6,3,3,6
212,0,,0,dog3,17,stimuli/dogs/dog1.png,stimuli/dogs/dog3.png,k,0.5939045000000078,,19,female,1,2,1,1,7,1,6,3,3,6
213,0,,0,dog3,18,stimuli/dogs/dog2.png,stimuli/dogs/dog5.png,k,1.696304100000134,,19,female,1,2,1,1,7,1,6,3,3,6
214,0,,0,dog3,19,stimuli/dogs/dog7.png,stimuli/dogs/dog3.png,d,0.7353315000000293,,19,female,1,2,1,1,7,1,6,3,3,6
215,0,,0,dog3,20,stimuli/dogs/dog1.png,stimuli/dogs/dog5.png,k,0.5188038999999662,,19,female,1,2,1,1,7,1,6,3,3,6
216,0,,0,dog3,21,stimuli/dogs/dog7.png,stimuli/dogs/dog5.png,d,0.8100956000000679,,19,female,1,2,1,1,7,1,6,3,3,6
217,0,,0,dog3,22,stimuli/dogs/dog2.png,stimuli/dogs/dog7.png,k,0.6282905000000483,,19,female,1,2,1,1,7,1,6,3,3,6
218,0,,0,dog3,23,stimuli/dogs/dog1.png,stimuli/dogs/dog1.png,q,2.0235437999999704,,19,female,1,2,1,1,7,1,6,3,3,6
219,0,,0,dog3,24,stimuli/dogs/dog1.png,stimuli/dogs/dog6.png,k,0.9703523999999106,,19,female,1,2,1,1,7,1,6,3,3,6
220,0,,0,dog3,25,stimuli/dogs/dog6.png,stimuli/dogs/dog5.png,d,0.8325841000000764,,19,female,1,2,1,1,7,1,6,3,3,6
221,0,,0,dog3,26,stimuli/dogs/dog6.png,stimuli/dogs/dog2.png,d,0.6049700000000939,,19,female,1,2,1,1,7,1,6,3,3,6
222,0,,0,dog3,27,stimuli/dogs/dog5.png,stimuli/dogs/dog4.png,d,0.8901814000000741,,19,female,1,2,1,1,7,1,6,3,3,6
223,0,,0,dog3,28,stimuli/dogs/dog2.png,stimuli/dogs/dog3.png,k,0.7058804999999211,,19,female,1,2,1,1,7,1,6,3,3,6
,id,condition,block,trial,stimA,stimB,choice,rt
0,,0,citrus,0,stimuli/citrus/6.png,stimuli/citrus/5.png,timeout,4
0,,0,citrus,1,stimuli/citrus/5.png,stimuli/citrus/1.png,k,1.3430433999999423
0,,0,citrus,2,stimuli/citrus/5.png,stimuli/citrus/ref_image.jpg,k,1.0749409000000014
0,,0,citrus,3,stimuli/citrus/6.png,stimuli/citrus/ref_image.jpg,k,1.4388040999999703
0,,0,citrus,4,stimuli/citrus/1.png,stimuli/citrus/3.png,d,1.516012400000136
0,,0,citrus,5,stimuli/citrus/ref_image.jpg,stimuli/citrus/1.png,k,0.9852780999999595
0,,0,citrus,6,stimuli/citrus/1.png,stimuli/citrus/4.png,k,1.2645204999998896
0,,0,citrus,7,stimuli/citrus/6.png,stimuli/citrus/3.png,d,0.9161687000000711
0,,0,citrus,8,stimuli/citrus/5.png,stimuli/citrus/5.png,q,1.631153999999924
0,,0,citrus,9,stimuli/citrus/4.png,stimuli/citrus/6.png,d,1.7280984000001354
0,,0,citrus,10,stimuli/citrus/3.png,stimuli/citrus/5.png,k,1.0491885999999795
0,,0,citrus,11,stimuli/citrus/3.png,stimuli/citrus/4.png,k,1.055062399999997
0,,0,citrus,12,stimuli/citrus/4.png,stimuli/citrus/ref_image.jpg,k,0.996516500000098
0,,0,citrus,13,stimuli/citrus/1.png,stimuli/citrus/6.png,k,1.0597575000001598
0,,0,citrus,14,stimuli/citrus/ref_image.jpg,stimuli/citrus/3.png,d,0.6837408999999752
0,,0,citrus,15,stimuli/citrus/4.png,stimuli/citrus/5.png,d,1.2873058999998648
