,Unnamed: 0,id,condition,block,trial,stimA,stimB,choice,rt,age,gender,familiarity,familiarity_health,uniqueness_1,uniqueness_2,uniqueness_3,uniqueness_4,anxiety_1,anxiety_2,anxiety_3,anxiety_4
69,0,45568,2,dog2,24,stimuli/dogs/dog8.png,stimuli/dogs/dog6.png,k,0.5236145000001216,20,male,3,3,1,1,7,1,3,7,2,6
70,0,45568,2,dog2,25,stimuli/dogs/dog6.png,stimuli/dogs/dog3.png,d,0.3768453999998655,20,male,3,3,1,1,7,1,3,7,2,6
71,0,45568,2,dog2,26,stimuli/dogs/dog7.png,stimuli/dogs/dog3.png,k,0.3445336999998289,20,male,3,3,1,1,7,1,3,7,2,6
72,0,45568,2,dog2,27,stimuli/dogs/dog8.png,stimuli/dogs/dog7.png,d,0.3910640999999941,20,male,3,3,1,1,7,1,3,7,2,6
73,0,45568,2,dog2,28,stimuli/dogs/dog4.png,stimuli/dogs/dog6.png,k,0.4015110000000277,20,male,3,3,1,1,7,1,3,7,2,6
74,0,45568,2,dog3,0,stimuli/dogs/dog2.png,stimuli/dogs/dog7.png,k,2.922961299999997,20,male,3,3,1,1,7,1,3,7,2,6
75,0,45568,2,dog3,1,stimuli/dogs/dog8.png,stimuli/dogs/dog8.png,q,1.4382195000000593,20,male,3,3,1,1,7,1,3,7,2,6
76,0,45568,2,dog3,2,stimuli/dogs/dog7.png,stimuli/dogs/dog4.png,k,2.494901000000027,20,male,3,3,1,1,7,1,3,7,2,6
77,0,45568,2,dog3,3,stimuli/dogs/dog1.png,stimuli/dogs/dog5.png,k,0.9535722999999052,20,male,3,3,1,1,7,1,3,7,2,6
78,0,45568,2,dog3,4,stimuli/dogs/dog8.png,stimuli/dogs/dog2.png,d,1.4000616999999238,20,male,3,3,1,1,7,1,3,7,2,6
79,0,45568,2,dog3,5,stimuli/dogs/dog2.png,stimuli/dogs/dog6.png,k,0.9218482999999652,20,male,3,3,1,1,7,1,3,7,2,6
80,0,45568,2,dog3,6,stimuli/dogs/dog6.png,stimuli/dogs/dog7.png,d,1.866743999999926,20,male,3,3,1,1,7,1,3,7,2,6
81,0,45568,2,dog3,7,stimuli/dogs/dog2.png,stimuli/dogs/dog4.png,k,1.6438349000000017,20,male,3,3,1,1,7,1,3,7,2,6
82,0,45568,2,dog3,8,stimuli/dogs/dog4.png,stimuli/dogs/dog6.png,k,1.8378510000000008,20,male,3,3,1,1,7,1,3,7,2,6
83,0,45568,2,dog3,9,stimuli/dogs/dog8.png,stimuli/dogs/dog6.png,k,1.79362859999992,20,male,3,3,1,1,7,1,3,7,2,6
84,0,45568,2,dog3,10,stimuli/dogs/dog4.png,stimuli/dogs/dog8.png,k,1.209184499999992,20,male,3,3,1,1,7,1,3,7,2,6
85,0,45568,2,dog3,11,stimuli/dogs/dog3.png,stimuli/dogs/dog5.png,d,2.146947000000182,20,male,3,3,1,1,7,1,3,7,2,6
86,0,45568,2,dog3,12,stimuli/dogs/dog5.png,stimuli/dogs/dog2.png,d,1.6952139999998508,20,male,3,3,1,1,7,1,3,7,2,6
87,0,45568,2,dog3,13,stimuli/dogs/dog3.png,stimuli/dogs/dog2.png,d,1.4533003999999892,20,male,3,3,1,1,7,1,3,7,2,6
88,0,45568,2,dog3,14,stimuli/dogs/dog7.png,stimuli/dogs/dog5.png,k,1.6142617000000428,20,male,3,3,1,1,7,1,3,7,2,6
89,0,45568,2,dog3,15,stimuli/dogs/dog1.png,stimuli/dogs/dog4.png,k,1.5190787999999884,20,male,3,3,1,1,7,1,3,7,2,6
90,0,45568,2,dog3,16,stimuli/dogs/dog6.png,stimuli/dogs/dog3.png,d,1.236354499999834,20,male,3,3,1,1,7,1,3,7,2,6
91,0,45568,2,dog3,17,stimuli/dogs/dog3.png,stimuli/dogs/dog8.png,k,1.4864970999999514,20,male,3,3,1,1,7,1,3,7,2,6
92,0,45568,2,dog3,18,stimuli/dogs/dog1.png,stimuli/dogs/dog3.png,k,1.2879915000000892,20,male,3,3,1,1,7,1,3,7,2,6
93,0,45568,2,dog3,19,stimuli/dogs/dog1.png,stimuli/dogs/dog7.png,k,0.8955662000000757,20,male,3,3,1,1,7,1,3,7,2,6
94,0,45568,2,dog3,20,stimuli/dogs/dog5.png,stimuli/dogs/dog4.png,d,1.0965446000000156,20,male,3,3,1,1,7,1,3,7,2,6
95,0,45568,2,dog3,21,stimuli/dogs/dog3.png,stimuli/dogs/dog7.png,k,1.4618800999999166,20,male,3,3,1,1,7,1,3,7,2,6
96,0,45568,2,dog3,22,stimuli/dogs/dog3.png,stimuli/dogs/dog4.png,k,2.0028116000000864,20,male,3,3,1,1,7,1,3,7,2,6
97,0,45568,2,dog3,23,stimuli/dogs/dog6.png,stimuli/dogs/dog5.png,k,2.5586419999999634,20,male,3,3,1,1,7,1,3,7,2,6
98,0,45568,2,dog3,24,stimuli/dogs/dog1.png,stimuli/dogs/dog6.png,k,1.569140300000072,20,male,3,3,1,1,7,1,3,7,2,6
99,0,45568,2,dog3,25,stimuli/dogs/dog7.png,stimuli/dogs/dog8.png,k,1.5607813000001445,20,male,3,3,1,1,7,1,3,7,2,6
100,0,45568,2,dog3,26,stimuli/dogs/dog2.png,stimuli/dogs/dog1.png,d,1.1735383000000184,20,male,3,3,1,1,7,1,3,7,2,6
101,0,45568,2,dog3,27,stimuli/dogs/dog8.png,stimuli/dogs/dog1.png,d,1.000935499999969,20,male,3,3,1,1,7,1,3,7,2,6
102,0,45568,2,dog3,28,stimuli/dogs/dog8.png,stimuli/dogs/dog5.png,d,2.1312703000000965,20,male,3,3,1,1,7,1,3,7,2,6
